train_loss,train_acc,epoch,step,val_loss,val_acc
1.6693912744522095,0.416015625,0,49,,
,,0,87,1.3989325761795044,0.39305999875068665
1.4146106243133545,0.53125,1,99,,
1.271902322769165,0.560546875,1,149,,
,,1,175,1.0843490362167358,0.5479000210762024
1.1543543338775635,0.62109375,2,199,,
1.0770251750946045,0.65625,2,249,,
,,2,263,1.0600676536560059,0.627240002155304
0.9121904969215393,0.662109375,3,299,,
0.9508394598960876,0.69140625,3,349,,
,,3,351,1.0155093669891357,0.675279974937439
0.8416060209274292,0.705078125,4,399,,
,,4,439,1.2131544351577759,0.6810399889945984
0.8567382097244263,0.73046875,5,449,,
0.782963752746582,0.748046875,5,499,,
,,5,527,0.6757733821868896,0.7203800082206726
0.7218290567398071,0.744140625,6,549,,
0.8093464374542236,0.7421875,6,599,,
,,6,615,0.5890854597091675,0.7428799867630005
0.6605696678161621,0.779296875,7,649,,
0.8626863360404968,0.728515625,7,699,,
,,7,703,0.6248139142990112,0.7636799812316895
0.6414451599121094,0.80078125,8,749,,
,,8,791,0.616982638835907,0.7759600281715393
0.5856704711914062,0.77734375,9,799,,
0.5847015380859375,0.7890625,9,849,,
,,9,879,0.6064885854721069,0.7874400019645691
0.591103196144104,0.802734375,10,899,,
0.5504947900772095,0.806640625,10,949,,
,,10,967,0.5665733218193054,0.8036400079727173
0.7272329926490784,0.76953125,11,999,,
0.5247846245765686,0.806640625,11,1049,,
,,11,1055,0.6750621795654297,0.7994599938392639
0.5641891360282898,0.802734375,12,1099,,
,,12,1143,0.525204062461853,0.8079400062561035
0.5144792795181274,0.8125,13,1149,,
0.473783940076828,0.83203125,13,1199,,
,,13,1231,0.4224626421928406,0.828819990158081
0.4048148989677429,0.861328125,14,1249,,
0.485378235578537,0.84375,14,1299,,
,,14,1319,0.37923482060432434,0.8443400263786316
0.6524451375007629,0.802734375,15,1349,,
0.4703092575073242,0.83203125,15,1399,,
,,15,1407,0.4216437041759491,0.8407599925994873
0.4036065936088562,0.873046875,16,1449,,
,,16,1495,0.3554523289203644,0.8527200222015381
0.4220235049724579,0.84375,17,1499,,
0.46991655230522156,0.83203125,17,1549,,
,,17,1583,0.34267333149909973,0.8594599962234497
0.43635714054107666,0.857421875,18,1599,,
0.38795164227485657,0.86328125,18,1649,,
,,18,1671,0.38637274503707886,0.8642200231552124
0.4250669479370117,0.86328125,19,1699,,
0.4058734178543091,0.853515625,19,1749,,
,,19,1759,0.3958597481250763,0.8637400269508362
0.38479670882225037,0.873046875,20,1799,,
,,20,1847,0.3381604850292206,0.8700399994850159
0.411692351102829,0.86328125,21,1849,,
0.376307874917984,0.87109375,21,1899,,
,,21,1935,0.3490174412727356,0.8787999749183655
0.4074994921684265,0.857421875,22,1949,,
0.3614235520362854,0.875,22,1999,,
,,22,2023,0.44234907627105713,0.875760018825531
0.3549644649028778,0.880859375,23,2049,,
0.3689670264720917,0.888671875,23,2099,,
,,23,2111,0.3742494285106659,0.8769999742507935
0.30984100699424744,0.88671875,24,2149,,
0.4076423943042755,0.8640350699424744,24,2199,,
,,24,2199,0.357957661151886,0.8782399892807007
,,25,2200,0.3679935038089752,0.8813999891281128
,,25,2200,0.37880074977874756,0.8779000043869019
,,25,2200,0.37880074977874756,0.8779000043869019
,,25,2200,0.3679935038089752,0.8813999891281128
